date time   kbmemfree kbavail kbmemused %memused kbbuffers kbcached kbcommit %commit kbactive kbinact kbdirty
2019-07-14 21:38:51   865844 2071268 15439704 94.69 372108 2228228 30249016 91.77 8769124 1868572 352
2019-07-14 21:38:52   865248 2070676 15440300 94.69 372124 2228224 30249016 91.77 8769336 1868576 424
2019-07-14 21:38:53   865000 2070380 15440548 94.70 372124 2228168 30249016 91.77 8769860 1868504 396
2019-07-14 21:38:54   865504 2070888 15440044 94.69 372124 2228172 30249016 91.77 8769236 1868504 400
2019-07-14 21:38:55   865380 2070768 15440168 94.69 372124 2228176 30249016 91.77 8769540 1868508 404
2019-07-14 21:38:56   865256 2070648 15440292 94.69 372124 2228180 30249016 91.77 8769568 1868512 408
2019-07-14 21:38:57   865248 2070648 15440300 94.69 372128 2228184 30249016 91.77 8769712 1868520 436
2019-07-14 21:38:58   865224 2070628 15440324 94.69 372128 2228188 30249016 91.77 8769896 1868520 440
2019-07-14 21:38:59   835920 2041324 15469628 94.87 372128 2228304 30516972 92.59 8798296 1868604 448
2019-07-14 21:39:00   752572 1957996 15552976 95.38 372128 2228344 30730668 93.23 8883744 1866880 488
2019-07-14 21:39:01   699888 1905388 15605660 95.71 372132 2228380 30816532 93.49 8937016 1865524 492
2019-07-14 21:39:02   665312 1870840 15640236 95.92 372136 2228388 30900788 93.75 8973272 1863552 448
2019-07-14 21:39:03   591832 1797364 15713716 96.37 372136 2230020 30954476 93.91 9045300 1863940 484
2019-07-14 21:39:04   546900 1752496 15758648 96.65 372136 2235288 31082324 94.30 9085292 1868412 488
2019-07-14 21:39:05   508888 1714692 15796660 96.88 372136 2229308 31222520 94.73 9129136 1861780 496
2019-07-14 21:39:06   441380 1654868 15864168 97.29 372328 2239600 31563568 95.76 9186336 1870448 7536
2019-07-14 21:39:07   425256 1643576 15880292 97.39 372340 2244260 31563568 95.76 9200884 1872788 9296
2019-07-14 21:39:08   414452 1633228 15891096 97.46 372340 2244672 31595996 95.86 9211476 1872864 9308
2019-07-14 21:39:09   397516 1616316 15908032 97.56 372344 2242472 31612312 95.91 9230308 1870568 9328
2019-07-14 21:39:10   387808 1606868 15917740 97.62 372376 2243436 31644716 96.01 9237764 1871444 9396
2019-07-14 21:39:11   346972 1566156 15958576 97.87 372380 2241856 31660652 96.06 9280672 1869148 9772
2019-07-14 21:39:12   308036 1527356 15997512 98.11 372380 2241936 31714064 96.22 9319576 1869048 8964
2019-07-14 21:39:13   304384 1523756 16001164 98.13 372380 2245720 31714064 96.22 9318904 1872836 9004
2019-07-14 21:39:14   385824 1604892 15919724 97.63 372380 2245428 31065820 94.25 9241164 1871792 8832
2019-07-14 21:39:15   830276 2049184 15475272 94.91 372392 2244940 30254440 91.79 8805104 1868076 8836
2019-07-14 21:39:16   807640 2035040 15497908 95.05 372400 2256288 30254440 91.79 8817252 1878508 17756
2019-07-14 21:39:17   837848 2065252 15467700 94.86 372400 2245628 30254440 91.79 8796768 1867800 17752
2019-07-14 21:39:18   843788 2071196 15461760 94.83 372400 2242444 30254440 91.79 8794152 1864616 17756
2019-07-14 21:39:19   844840 2072252 15460708 94.82 372400 2242652 30254440 91.79 8793304 1864824 17760
2019-07-14 21:39:20   845088 2072504 15460460 94.82 372400 2242580 30238240 91.74 8793584 1864752 17784
2019-07-14 21:39:21   845080 2072500 15460468 94.82 372412 2242328 30238240 91.74 8793648 1864500 17788
2019-07-14 21:39:22   844236 2071660 15461312 94.82 372416 2242728 30238240 91.74 8793972 1864900 17804
2019-07-14 21:39:23   844248 2071692 15461300 94.82 372416 2242400 30238240 91.74 8794300 1864572 17744
2019-07-14 21:39:24   844460 2071908 15461088 94.82 372416 2242284 30238240 91.74 8794480 1864456 17748
2019-07-14 21:39:25   844228 2071680 15461320 94.82 372416 2242288 30238240 91.74 8794384 1864460 17760
2019-07-14 21:39:26   843896 2071352 15461652 94.82 372420 2242288 30238240 91.74 8794516 1864464 17764
2019-07-14 21:39:27   847112 2074580 15458436 94.80 372424 2242296 30238240 91.74 8791508 1864468 17784
2019-07-14 21:39:28   841192 2068664 15464356 94.84 372424 2247492 30238240 91.74 8791948 1869664 17788
2019-07-14 21:39:29   841012 2068488 15464536 94.84 372424 2247424 30238240 91.74 8791940 1869596 17792
2019-07-14 21:39:30   845832 2073312 15459716 94.81 372424 2242548 30238240 91.74 8792104 1864720 17796
2019-07-14 21:39:31   847444 2074928 15458104 94.80 372428 2242208 30238240 91.74 8791140 1864384 17800
2019-07-14 21:39:32   875488 2103032 15430060 94.63 372432 2238484 30135436 91.43 8764612 1864084 17820
2019-07-14 21:39:33   875460 2103008 15430088 94.63 372432 2238228 30135436 91.43 8764520 1863832 17788
2019-07-14 21:39:34   875196 2102748 15430352 94.63 372432 2238344 30135436 91.43 8764676 1863988 17808
2019-07-14 21:39:35   875304 2102860 15430244 94.63 372432 2238232 30135436 91.43 8764804 1863876 17832
2019-07-14 21:39:36   875288 2102844 15430260 94.63 372440 2237876 30135436 91.43 8764948 1863528 17832
2019-07-14 21:39:37   874420 2101992 15431128 94.64 372444 2237896 30135436 91.43 8766032 1863540 17864
2019-07-14 21:39:38   874360 2101936 15431188 94.64 372444 2237896 30119428 91.38 8766308 1863528 9268
2019-07-14 21:39:39   873864 2101448 15431684 94.64 372448 2237892 30102992 91.33 8766612 1863524 9500
2019-07-14 21:39:40   873988 2101576 15431560 94.64 372448 2237992 30122300 91.39 8766732 1863584 9504
2019-07-14 21:39:42   873700 2101292 15431848 94.64 372448 2238092 30122300 91.39 8766880 1863684 9508
2019-07-14 21:39:43   874204 2101800 15431344 94.64 372448 2238120 30122300 91.39 8766240 1863752 9524
2019-07-14 21:39:44   874188 2101800 15431360 94.64 372452 2238196 30122300 91.39 8766420 1863768 9288
2019-07-14 21:39:45   873560 2101180 15431988 94.64 372456 2238272 30122300 91.39 8766600 1863896 9348
2019-07-14 21:39:46   873852 2101476 15431696 94.64 372456 2238116 30122300 91.39 8766720 1863736 9352
2019-07-14 21:39:47   874008 2101636 15431540 94.64 372456 2238024 30122300 91.39 8766880 1863648 9356
2019-07-14 21:39:48   874296 2101928 15431252 94.64 372456 2237932 30122300 91.39 8766180 1863556 9360
2019-07-14 21:39:49   874440 2102080 15431108 94.64 372464 2237932 30122300 91.39 8766384 1863560 204
2019-07-14 21:39:50   875300 2102948 15430248 94.63 372468 2237940 30122300 91.39 8765536 1863564 224
2019-07-14 21:39:51   875060 2102720 15430488 94.63 372472 2237944 30122300 91.39 8765640 1863568 284
2019-07-14 21:39:52   874812 2102476 15430736 94.63 372472 2237948 30122300 91.39 8765624 1863572 288
2019-07-14 21:39:53   874936 2102604 15430612 94.63 372472 2237952 30122300 91.39 8765888 1863576 296
2019-07-14 21:39:54   874500 2102172 15431048 94.64 372472 2237936 30122300 91.39 8766088 1863560 292
2019-07-14 21:39:55   870572 2098248 15434976 94.66 372476 2241792 30122300 91.39 8766152 1867420 296
2019-07-14 21:39:56   870324 2098012 15435224 94.66 372480 2241812 30122300 91.39 8766340 1867436 304
2019-07-14 21:39:57   870332 2098024 15435216 94.66 372480 2241720 30122300 91.39 8766256 1867344 308
2019-07-14 21:39:58   871052 2098788 15434496 94.66 372480 2241148 30122300 91.39 8766416 1866736 312
2019-07-14 21:39:59   870680 2098420 15434868 94.66 372480 2241152 30122300 91.39 8766644 1866740 316
2019-07-14 21:40:00   873728 2101472 15431820 94.64 372484 2238032 30122300 91.39 8766720 1863608 320
2019-07-14 21:40:01   873376 2101132 15432172 94.64 372488 2238024 30122300 91.39 8766924 1863612 324
2019-07-14 21:40:02   873964 2101724 15431584 94.64 372488 2238028 30122300 91.39 8767116 1863616 344
2019-07-14 21:40:03   820680 2048464 15484868 94.97 372488 2241128 30597192 92.83 8816268 1866708 412
2019-07-14 21:40:04   746000 1973732 15559548 95.42 372488 2241132 30597192 92.83 8891080 1866712 384
2019-07-14 21:40:05   867992 2095724 15437556 94.68 372492 2241124 30124384 91.39 8769512 1866572 412
2019-07-14 21:40:06   870760 2098472 15434788 94.66 372496 2238028 30124384 91.39 8769796 1863328 456
2019-07-14 21:40:07   870628 2098344 15434920 94.66 372496 2238004 30124384 91.39 8769972 1863304 460
2019-07-14 21:40:08   871000 2098648 15434548 94.66 372508 2237924 30124384 91.39 8770256 1863236 476
2019-07-14 21:40:09   870908 2098572 15434640 94.66 372508 2237940 30124384 91.39 8770432 1863240 488
2019-07-14 21:40:10   871392 2099060 15434156 94.66 372508 2237944 30124384 91.39 8769496 1863244 492
2019-07-14 21:40:11   871404 2099080 15434144 94.66 372512 2237948 30124384 91.39 8769684 1863248 528
2019-07-14 21:40:12   864320 2092000 15441228 94.70 372512 2245008 30124384 91.39 8769804 1870308 536
2019-07-14 21:40:13   864824 2092508 15440724 94.70 372512 2245144 30124384 91.39 8768792 1870444 544
2019-07-14 21:40:14   864916 2092604 15440632 94.70 372512 2245148 30124384 91.39 8768792 1870448 272
2019-07-14 21:40:15   835504 2063200 15470044 94.88 372516 2245156 30312236 91.96 8798720 1870456 312
2019-07-14 21:40:16   782236 2009972 15523312 95.20 372520 2237920 30560888 92.72 8859028 1863184 404
2019-07-14 21:40:17   730904 1958576 15574644 95.52 372524 2237924 30613252 92.88 8910204 1863188 408
2019-07-14 21:40:18   671620 1899404 15633928 95.88 372524 2242940 30781576 93.39 8962144 1868292 424
2019-07-14 21:40:19   611712 1839500 15693836 96.25 372524 2238828 30781576 93.39 9025504 1864180 456
2019-07-14 21:40:20   565288 1793084 15740260 96.53 372528 2245644 30826368 93.52 9064936 1870968 428
2019-07-14 21:40:21   534992 1762836 15770556 96.72 372536 2256652 30953532 93.91 9084792 1881824 568
2019-07-14 21:40:22   490264 1718196 15815284 96.99 372536 2249872 31266112 94.86 9134588 1875028 572
2019-07-14 21:40:23   443164 1671160 15862384 97.28 372544 2249916 31459080 95.44 9181028 1875040 616
2019-07-14 21:40:24   439340 1667384 15866208 97.31 372548 2249960 31459080 95.44 9184364 1875068 464
2019-07-14 21:40:25   422964 1651028 15882584 97.41 372552 2253696 31491932 95.54 9197576 1878736 388
2019-07-14 21:40:26   406824 1635060 15898724 97.50 372644 2250824 31524892 95.64 9215768 1875856 712
2019-07-14 21:40:27   397868 1626240 15907680 97.56 372644 2250592 31524892 95.64 9224576 1875544 736
2019-07-14 21:40:28   327800 1556136 15977748 97.99 372656 2250624 31616684 95.92 9294264 1875576 800
2019-07-14 21:40:29   327332 1555740 15978216 97.99 372656 2250696 31616684 95.92 9294748 1875648 872
2019-07-14 21:40:30   381836 1610112 15923712 97.66 372664 2253696 31129948 94.45 9239176 1878588 724
2019-07-14 21:40:31   846984 2075168 15458564 94.81 372664 2253700 30186596 91.58 8778320 1878592 800
2019-07-14 21:40:32   851568 2079632 15453980 94.78 372664 2253608 30140280 91.44 8774656 1878396 772
2019-07-14 21:40:33   853608 2081684 15451940 94.76 372672 2250476 30144556 91.46 8774984 1875264 792
2019-07-14 21:40:34   853692 2081768 15451856 94.76 372672 2250488 30144556 91.46 8774984 1875276 764
2019-07-14 21:40:35   853692 2081772 15451856 94.76 372680 2250484 30144556 91.46 8775084 1875280 796
2019-07-14 21:40:36   853824 2081920 15451724 94.76 372684 2250496 30144556 91.46 8775372 1875284 828
2019-07-14 21:40:37   853640 2081740 15451908 94.76 372684 2250500 30144556 91.46 8775812 1875288 832
2019-07-14 21:40:38   853296 2081400 15452252 94.77 372684 2250504 30144556 91.46 8775660 1875292 836
2019-07-14 21:40:39   848700 2076816 15456848 94.80 372692 2254960 30144556 91.46 8775844 1879748 816
2019-07-14 21:40:40   857932 2086052 15447616 94.74 372696 2245212 30144556 91.46 8776240 1870008 820
2019-07-14 21:40:41   857976 2086108 15447572 94.74 372700 2245264 30144556 91.46 8776068 1870052 848
2019-07-14 21:40:42   862476 2090612 15443072 94.71 372700 2240632 30144556 91.46 8776336 1865420 864
2019-07-14 21:40:43   862920 2091060 15442628 94.71 372700 2240460 30144556 91.46 8775820 1865252 868
2019-07-14 21:40:44   863344 2091488 15442204 94.71 372700 2240168 30144556 91.46 8775880 1864960 592
2019-07-14 21:40:45   863520 2091668 15442028 94.70 372708 2239848 30144556 91.46 8775880 1864644 600
2019-07-14 21:40:46   863612 2091768 15441936 94.70 372708 2240028 30144556 91.46 8776036 1864776 620
2019-07-14 21:40:47   863372 2091536 15442176 94.71 372708 2240032 30144556 91.46 8776104 1864824 624
2019-07-14 21:40:48   862984 2091152 15442564 94.71 372708 2239976 30144556 91.46 8776312 1864768 628
2019-07-14 21:40:49   863240 2091412 15442308 94.71 372708 2239820 30144556 91.46 8776508 1864608 652
2019-07-14 21:40:50   860784 2088968 15444764 94.72 372724 2243568 30144556 91.46 8774940 1868324 668
2019-07-14 21:40:51   861036 2089232 15444512 94.72 372724 2243572 30144556 91.46 8774848 1868360 672
2019-07-14 21:40:52   864740 2092940 15440808 94.70 372724 2239884 30144556 91.46 8774976 1864672 696
2019-07-14 21:40:54   864864 2093068 15440684 94.70 372724 2239784 30144556 91.46 8775104 1864572 704
2019-07-14 21:40:55   864824 2093032 15440724 94.70 372724 2239788 30144556 91.46 8775272 1864576 100
2019-07-14 21:40:56   864832 2093044 15440716 94.70 372728 2239788 30144556 91.46 8775424 1864580 124
2019-07-14 21:40:57   864568 2092792 15440980 94.70 372732 2239796 30128080 91.41 8775572 1864584 184
2019-07-14 21:40:58   864056 2092284 15441492 94.70 372732 2239800 30128080 91.41 8775884 1864588 196
2019-07-14 21:40:59   864932 2093164 15440616 94.70 372732 2238964 30128080 91.41 8775916 1863752 200
2019-07-14 21:41:00   859660 2087896 15445888 94.73 372732 2243836 30128080 91.41 8776140 1868620 224
2019-07-14 21:41:01   859964 2088204 15445584 94.73 372736 2243836 30128080 91.41 8776280 1868628 168
2019-07-14 21:41:02   851756 2080084 15453792 94.78 372740 2251472 30143996 91.45 8776928 1876288 188
2019-07-14 21:41:03   852988 2081316 15452560 94.77 372740 2249652 30143996 91.45 8777072 1874484 208
2019-07-14 21:41:04   852160 2080516 15453388 94.77 372740 2250156 30143996 91.45 8778004 1875008 220
2019-07-14 21:41:05   850524 2078892 15455024 94.78 372748 2251176 30143996 91.45 8778444 1875968 252
2019-07-14 21:41:06   847952 2076324 15457596 94.80 372752 2252948 30142436 91.45 8778892 1877808 280
2019-07-14 21:41:07   852708 2081096 15452840 94.77 372760 2247652 30142436 91.45 8778828 1872508 340
2019-07-14 21:41:08   853104 2081496 15452444 94.77 372760 2247616 30142436 91.45 8778936 1872472 348
2019-07-14 21:41:09   853188 2081592 15452360 94.77 372760 2247308 30142436 91.45 8779216 1872164 352
2019-07-14 21:41:10   853320 2081728 15452228 94.77 372760 2247096 30142436 91.45 8779276 1871952 356
2019-07-14 21:41:11   790112 2018560 15515436 95.15 372776 2249840 30613172 92.88 8838640 1874712 416
2019-07-14 21:41:12   709776 1938248 15595772 95.65 372780 2246788 30696616 93.13 8921500 1871644 484
2019-07-14 21:41:13   852352 2080804 15453196 94.77 372780 2246756 30145000 91.46 8780108 1871568 460
2019-07-14 21:41:14   852732 2081188 15452816 94.77 372780 2246780 30145000 91.46 8780164 1871560 476
2019-07-14 21:41:15   852592 2081052 15452956 94.77 372780 2246784 30145000 91.46 8780304 1871564 480
2019-07-14 21:41:16   852064 2080528 15453484 94.77 372784 2246784 30145000 91.46 8780528 1871568 484
2019-07-14 21:41:17   852080 2080472 15453468 94.77 372788 2246716 30145000 91.46 8780604 1871500 496
2019-07-14 21:41:18   852204 2080600 15453344 94.77 372788 2246720 30145000 91.46 8780872 1871500 504
2019-07-14 21:41:19   852204 2080604 15453344 94.77 372788 2246724 30145000 91.46 8780948 1871504 524
2019-07-14 21:41:20   851924 2080328 15453624 94.78 372788 2246728 30145000 91.46 8781304 1871508 528
2019-07-14 21:41:21   852200 2080536 15453348 94.77 372792 2246728 30145000 91.46 8781220 1871512 532
2019-07-14 21:41:22   852844 2081188 15452704 94.77 372792 2246736 30145000 91.46 8780388 1871516 544
2019-07-14 21:41:23   823180 2051560 15482368 94.95 372792 2246772 30402192 92.24 8809072 1871548 580
2019-07-14 21:41:24   740204 1968600 15565344 95.46 372812 2246808 30621380 92.90 8891692 1871556 584
2019-07-14 21:41:25   697880 1926296 15607668 95.72 372812 2250616 30621380 92.90 8930376 1875356 604
2019-07-14 21:41:26   656972 1885448 15648576 95.97 372820 2246896 30751384 93.30 8973716 1871636 556
2019-07-14 21:41:27   592860 1821340 15712688 96.36 372820 2246960 30799540 93.44 9036260 1871700 576
2019-07-14 21:41:28   564384 1792928 15741164 96.54 372820 2246704 30907744 93.77 9065004 1871428 596
2019-07-14 21:41:29   525844 1754400 15779704 96.78 372820 2246708 31064596 94.25 9103164 1871432 600
2019-07-14 21:41:30   493860 1722540 15811688 96.97 372820 2246736 31376432 95.19 9134436 1871444 628
2019-07-14 21:41:31   463080 1691828 15842468 97.16 372828 2246796 31393316 95.24 9164632 1871480 496
2019-07-14 21:41:32   432224 1660988 15873324 97.35 372828 2246812 31472468 95.48 9195072 1871440 584
2019-07-14 21:41:33   428172 1656996 15877376 97.37 372828 2246872 31472468 95.48 9198776 1871500 664
2019-07-14 21:41:34   399452 1628496 15906096 97.55 372832 2246872 31488560 95.53 9226688 1871416 732
2019-07-14 21:41:35   390748 1619832 15914800 97.60 372832 2246920 31521400 95.63 9235272 1871456 736
2019-07-14 21:41:36   360544 1589744 15945004 97.79 372852 2246992 31570284 95.78 9265320 1871540 972
2019-07-14 21:41:37   415528 1644452 15890020 97.45 372852 2246820 31072840 94.27 9212532 1871452 800
2019-07-14 21:41:38   851232 2080100 15454316 94.78 372864 2246820 30136040 91.43 8781636 1871372 844
2019-07-14 21:41:39   851040 2079820 15454508 94.78 372864 2246732 30136040 91.43 8781728 1871304 816
2019-07-14 21:41:40   850924 2079708 15454624 94.78 372864 2246736 30136040 91.43 8782164 1871308 824
2019-07-14 21:41:41   850924 2079712 15454624 94.78 372872 2246732 30136040 91.43 8782016 1871312 828
2019-07-14 21:41:42   851048 2079852 15454500 94.78 372876 2246744 30136040 91.43 8782384 1871316 848
2019-07-14 21:41:43   852032 2080840 15453516 94.77 372876 2246748 30136040 91.43 8780416 1871320 852
2019-07-14 21:41:44   852412 2081224 15453136 94.77 372876 2246752 30136040 91.43 8780776 1871324 856
2019-07-14 21:41:45   851636 2080452 15453912 94.78 372876 2247148 30136040 91.43 8780760 1871720 860
2019-07-14 21:41:46   846716 2075568 15458832 94.81 372892 2251716 30136040 91.43 8782104 1875276 936
2019-07-14 21:41:47   850520 2079400 15455028 94.78 372892 2247424 30136040 91.43 8781096 1871980 1008
2019-07-14 21:41:48   855728 2084616 15449820 94.75 372892 2242692 30136040 91.43 8780576 1867244 1044
2019-07-14 21:41:49   855488 2084380 15450060 94.75 372892 2242636 30136040 91.43 8781380 1867188 1048
2019-07-14 21:41:50   854860 2083756 15450688 94.76 372892 2242636 30136040 91.43 8781764 1867188 1052
2019-07-14 21:41:51   828112 2057032 15477436 94.92 372912 2246940 30339972 92.05 8802268 1871504 1164
2019-07-14 21:41:52   829704 2058640 15475844 94.91 372912 2246732 30356028 92.10 8800004 1871284 1396
2019-07-14 21:41:53   829624 2058572 15475924 94.91 372924 2246736 30356028 92.10 8800240 1871288 1408
2019-07-14 21:41:54   827088 2056044 15478460 94.93 372924 2249048 30356028 92.10 8800120 1873600 1412
2019-07-14 21:41:55   819240 2048200 15486308 94.98 372924 2255724 30356028 92.10 8802452 1880268 1416
2019-07-14 21:41:56   818140 2047104 15487408 94.98 372924 2255744 30356028 92.10 8803180 1880296 1380
2019-07-14 21:41:57   816892 2045860 15488656 94.99 372924 2255752 30356028 92.10 8804412 1880304 1384
2019-07-14 21:41:58   818520 2047492 15487028 94.98 372928 2253704 30356028 92.10 8804484 1878212 1392
2019-07-14 21:41:59   819008 2047992 15486540 94.98 372932 2253716 30389696 92.20 8804048 1878236 1436
