date time   CPU %user %nice %system %iowait %steal %idle
2019-07-14 21:40:50   all 6.11 0.00 2.54 0.00 0.00 91.35
2019-07-14 21:40:51   all 7.54 0.00 1.76 0.00 0.00 90.70
2019-07-14 21:40:52   all 3.77 0.00 3.02 0.00 0.00 93.22
2019-07-14 21:40:54   all 3.38 0.00 1.30 0.00 0.00 95.32
2019-07-14 21:40:55   all 4.49 0.00 3.24 0.00 0.00 92.27
2019-07-14 21:40:56   all 3.80 0.00 2.53 0.00 0.00 93.67
2019-07-14 21:40:57   all 3.82 0.00 2.80 0.25 0.00 93.13
2019-07-14 21:40:58   all 4.59 0.00 1.28 0.00 0.00 94.13
2019-07-14 21:40:59   all 12.47 0.00 5.62 0.00 0.00 81.91
2019-07-14 21:41:00   all 12.88 0.00 3.28 0.00 0.00 83.84
2019-07-14 21:41:01   all 4.05 0.00 2.78 0.00 0.00 93.16
2019-07-14 21:41:02   all 9.35 0.00 3.64 0.00 0.00 87.01
2019-07-14 21:41:03   all 8.02 0.00 4.01 0.00 0.00 87.97
2019-07-14 21:41:04   all 8.38 0.00 4.57 0.00 0.00 87.06
2019-07-14 21:41:05   all 12.91 0.00 4.05 1.52 0.00 81.52
2019-07-14 21:41:06   all 22.17 0.00 9.85 0.00 0.00 67.98
2019-07-14 21:41:07   all 8.79 0.00 2.51 0.00 0.00 88.69
2019-07-14 21:41:08   all 3.02 0.00 3.27 0.00 0.00 93.70
2019-07-14 21:41:09   all 4.76 0.00 3.01 0.00 0.00 92.23
2019-07-14 21:41:10   all 3.73 0.00 3.48 0.00 0.00 92.79
2019-07-14 21:41:11   all 28.46 0.00 5.04 0.76 0.00 65.74
2019-07-14 21:41:12   all 63.07 0.00 2.51 0.00 0.00 34.42
2019-07-14 21:41:13   all 23.56 0.00 5.26 0.00 0.00 71.18
2019-07-14 21:41:14   all 3.55 0.00 3.05 0.00 0.00 93.40
2019-07-14 21:41:15   all 3.30 0.00 2.79 0.00 0.00 93.91
2019-07-14 21:41:16   all 6.35 0.00 2.54 0.00 0.00 91.12
2019-07-14 21:41:17   all 5.69 0.00 2.97 0.25 0.00 91.09
2019-07-14 21:41:18   all 3.54 0.00 2.78 0.00 0.00 93.69
2019-07-14 21:41:19   all 3.52 0.00 3.27 0.00 0.00 93.22
2019-07-14 21:41:20   all 4.58 0.00 2.29 0.00 0.00 93.13
2019-07-14 21:41:21   all 3.83 0.00 2.30 0.00 0.00 93.88
2019-07-14 21:41:22   all 3.10 0.00 2.84 0.00 0.00 94.06
2019-07-14 21:41:23   all 16.28 0.00 4.07 0.00 0.00 79.64
2019-07-14 21:41:24   all 41.61 0.00 8.03 0.00 0.00 50.36
2019-07-14 21:41:25   all 63.03 0.00 3.23 0.00 0.00 33.75
2019-07-14 21:41:26   all 41.81 0.00 9.07 0.00 0.00 49.12
2019-07-14 21:41:27   all 70.03 0.00 6.30 0.00 0.00 23.68
2019-07-14 21:41:28   all 77.67 0.00 2.73 0.00 0.00 19.60
2019-07-14 21:41:29   all 56.71 0.00 4.81 0.00 0.00 38.48
2019-07-14 21:41:30   all 50.00 0.00 6.72 0.00 0.00 43.28
2019-07-14 21:41:31   all 41.01 0.00 3.04 0.00 0.00 55.95
2019-07-14 21:41:32   all 53.45 0.00 3.84 0.00 0.00 42.71
2019-07-14 21:41:33   all 71.79 0.00 2.02 0.00 0.00 26.20
2019-07-14 21:41:34   all 44.59 0.00 2.58 0.00 0.00 52.84
2019-07-14 21:41:35   all 46.35 0.00 2.02 0.25 0.00 51.39
2019-07-14 21:41:36   all 42.97 0.00 4.35 0.51 0.00 52.17
2019-07-14 21:41:37   all 15.95 0.00 3.54 0.00 0.00 80.51
2019-07-14 21:41:38   all 10.86 0.00 4.55 1.26 0.00 83.33
2019-07-14 21:41:39   all 3.28 0.00 2.27 0.00 0.00 94.44
2019-07-14 21:41:40   all 2.55 0.00 2.30 0.00 0.00 95.15
2019-07-14 21:41:41   all 3.56 0.00 1.27 0.00 0.00 95.17
2019-07-14 21:41:42   all 2.27 0.00 3.27 0.00 0.00 94.46
2019-07-14 21:41:43   all 3.28 0.00 2.78 0.00 0.00 93.94
2019-07-14 21:41:44   all 3.57 0.00 2.30 0.00 0.00 94.13
2019-07-14 21:41:45   all 3.58 0.00 3.84 0.00 0.00 92.58
2019-07-14 21:41:46   all 15.09 0.00 2.81 0.00 0.00 82.10
2019-07-14 21:41:47   all 6.38 0.00 2.81 0.00 0.00 90.82
2019-07-14 21:41:48   all 9.28 0.00 2.84 0.00 0.00 87.89
2019-07-14 21:41:49   all 9.49 0.00 4.62 0.00 0.00 85.90
2019-07-14 21:41:50   all 8.76 0.00 3.61 0.00 0.00 87.63
2019-07-14 21:41:51   all 13.45 0.00 5.33 0.25 0.00 80.96
2019-07-14 21:41:52   all 7.44 0.00 3.85 0.00 0.00 88.72
2019-07-14 21:41:53   all 8.95 0.00 3.32 0.26 0.00 87.47
2019-07-14 21:41:54   all 7.20 0.00 3.08 0.00 0.00 89.72
2019-07-14 21:41:55   all 39.32 0.00 6.25 0.00 0.00 54.43
2019-07-14 21:41:56   all 12.02 0.00 3.58 0.00 0.00 84.40
2019-07-14 21:41:57   all 7.59 0.00 2.78 0.00 0.00 89.62
2019-07-14 21:41:58   all 8.04 0.00 4.02 0.00 0.00 87.94
2019-07-14 21:41:59   all 9.95 0.00 3.48 0.25 0.00 86.32
2019-07-14 21:42:00   all 11.22 0.00 3.57 0.00 0.00 85.20
2019-07-14 21:42:01   all 8.50 0.00 3.25 0.00 0.00 88.25
2019-07-14 21:42:02   all 13.75 0.00 1.50 0.00 0.00 84.75
2019-07-14 21:42:03   all 9.62 0.00 3.29 0.00 0.00 87.09
2019-07-14 21:42:04   all 7.79 0.00 3.52 0.00 0.00 88.69
2019-07-14 21:42:05   all 11.14 0.00 3.29 0.00 0.00 85.57
2019-07-14 21:42:07   all 14.43 0.00 3.54 0.00 0.00 82.03
2019-07-14 21:42:08   all 9.25 0.00 3.50 0.00 0.00 87.25
2019-07-14 21:42:09   all 22.03 0.00 4.46 0.00 0.00 73.51
2019-07-14 21:42:10   all 18.86 0.00 3.23 0.00 0.00 77.92
2019-07-14 21:42:11   all 18.11 0.00 4.22 0.00 0.00 77.67
2019-07-14 21:42:12   all 9.93 0.00 4.71 0.99 0.00 84.37
2019-07-14 21:42:13   all 8.04 0.00 3.27 0.00 0.00 88.69
2019-07-14 21:42:14   all 7.11 0.00 3.05 0.00 0.00 89.85
2019-07-14 21:42:15   all 16.08 0.00 4.02 0.00 0.00 79.90
2019-07-14 21:42:16   all 4.82 0.00 3.55 0.25 0.00 91.37
2019-07-14 21:42:17   all 10.83 0.00 3.27 0.00 0.00 85.89
2019-07-14 21:42:18   all 17.72 0.00 4.05 0.00 0.00 78.23
2019-07-14 21:42:19   all 13.28 0.00 4.51 0.00 0.00 82.21
2019-07-14 21:42:20   all 10.05 0.00 3.02 0.00 0.00 86.93
2019-07-14 21:42:21   all 7.05 0.00 3.27 0.00 0.00 89.67
2019-07-14 21:42:22   all 13.27 0.00 3.06 0.26 0.00 83.42
2019-07-14 21:42:23   all 20.70 0.00 3.49 0.00 0.00 75.81
2019-07-14 21:42:24   all 7.07 0.00 2.78 0.00 0.00 90.15
2019-07-14 21:42:25   all 16.75 0.00 2.03 0.00 0.00 81.22
2019-07-14 21:42:26   all 6.11 0.00 2.04 0.00 0.00 91.86
2019-07-14 21:42:27   all 9.18 0.00 2.30 0.26 0.00 88.27
2019-07-14 21:42:28   all 5.36 0.00 2.30 0.00 0.00 92.35
2019-07-14 21:42:29   all 6.85 0.00 2.54 0.00 0.00 90.61
2019-07-14 21:42:30   all 7.61 0.00 2.79 0.00 0.00 89.59
2019-07-14 21:42:31   all 5.09 0.00 2.54 0.00 0.00 92.37
2019-07-14 21:42:32   all 5.10 0.00 3.32 0.00 0.00 91.58
2019-07-14 21:42:33   all 9.51 0.00 2.06 0.77 0.00 87.66
2019-07-14 21:42:34   all 7.27 0.00 2.51 0.00 0.00 90.23
2019-07-14 21:42:35   all 9.09 0.00 3.03 0.00 0.00 87.88
2019-07-14 21:42:36   all 5.81 0.00 2.53 0.00 0.00 91.67
2019-07-14 21:42:37   all 7.58 0.00 2.53 0.00 0.00 89.90
2019-07-14 21:42:38   all 8.04 0.00 4.02 0.00 0.00 87.94
2019-07-14 21:42:39   all 6.30 0.00 3.53 0.00 0.00 90.18
