date time   tps rtps wtps bread/s bwrtn/s
2019-07-14 21:41:46   3.96 1.98 1.98 15.84 55.45
2019-07-14 21:41:47   2.97 0.99 1.98 7.92 213.86
2019-07-14 21:41:48   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:49   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:50   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:51   13.86 0.00 13.86 0.00 396.04
2019-07-14 21:41:52   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:53   13.86 0.00 13.86 0.00 293.07
2019-07-14 21:41:54   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:55   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:56   8.91 0.00 8.91 0.00 182.18
2019-07-14 21:41:57   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:58   1.98 0.00 1.98 0.00 15.84
2019-07-14 21:41:59   1.96 0.00 1.96 0.00 180.39
2019-07-14 21:42:00   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:42:01   6.93 0.00 6.93 0.00 506.93
2019-07-14 21:42:02   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:42:03   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:42:04   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:42:05   4.95 0.00 4.95 0.00 71.29
2019-07-14 21:42:07   119.61 0.00 119.61 0.00 3027.45
2019-07-14 21:42:08   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:42:09   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:42:10   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:42:11   4.95 0.00 4.95 0.00 55.45
2019-07-14 21:42:12   5.88 0.00 5.88 0.00 627.45
2019-07-14 21:42:13   2.97 0.00 2.97 0.00 47.52
2019-07-14 21:42:14   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:42:15   4.95 0.00 4.95 0.00 63.37
2019-07-14 21:42:16   18.81 0.00 18.81 0.00 380.20
2019-07-14 21:42:17   0.98 0.00 0.98 0.00 78.43
2019-07-14 21:42:18   4.95 0.00 4.95 0.00 63.37
2019-07-14 21:42:19   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:42:20   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:42:21   2.97 0.00 2.97 0.00 47.52
2019-07-14 21:42:22   15.84 0.00 15.84 0.00 300.99
2019-07-14 21:42:23   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:42:24   4.95 0.00 4.95 0.00 63.37
2019-07-14 21:42:25   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:42:26   4.90 0.00 4.90 0.00 62.75
2019-07-14 21:42:27   14.85 0.00 14.85 0.00 277.23
2019-07-14 21:42:28   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:42:29   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:42:30   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:42:31   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:42:32   2.94 0.00 2.94 0.00 384.31
2019-07-14 21:42:33   1.98 0.00 1.98 0.00 47.52
2019-07-14 21:42:34   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:42:35   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:42:36   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:42:37   105.94 0.00 105.94 0.00 1227.72
2019-07-14 21:42:38   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:42:39   0.00 0.00 0.00 0.00 0.00
