date time   IFACE rxpck/s txpck/s rxkB/s txkB/s rxcmp/s txcmp/s rxmcst/s %ifutil
2019-07-14 21:37:59   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:59   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:00   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:00   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:01   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:01   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:02   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:02   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:03   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:03   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:04   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:04   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:05   eth0 0.98 0.00 0.20 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:05   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:06   eth0 0.99 0.00 0.21 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:06   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:07   eth0 0.99 0.00 0.21 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:07   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:08   eth0 0.98 0.00 0.20 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:08   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:09   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:09   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:10   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:10   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:11   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:11   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:12   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:12   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:13   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:13   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:14   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:14   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:15   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:15   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:16   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:16   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:17   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:17   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:18   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:18   lo 110.78 110.78 7.32 7.32 0.00 0.00 0.00 0.00
2019-07-14 21:38:19   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:19   lo 75.25 75.25 5.64 5.64 0.00 0.00 0.00 0.00
2019-07-14 21:38:20   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:20   lo 248.51 248.51 27.79 27.79 0.00 0.00 0.00 0.00
2019-07-14 21:38:21   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:21   lo 681.19 681.19 106.07 106.07 0.00 0.00 0.00 0.00
2019-07-14 21:38:22   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:22   lo 94.06 94.06 48.54 48.54 0.00 0.00 0.00 0.00
2019-07-14 21:38:23   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:23   lo 141.18 141.18 94.34 94.34 0.00 0.00 0.00 0.00
2019-07-14 21:38:24   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:24   lo 239.60 239.60 104.09 104.09 0.00 0.00 0.00 0.00
2019-07-14 21:38:25   eth0 0.98 0.00 0.18 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:25   lo 305.88 305.88 106.10 106.10 0.00 0.00 0.00 0.00
2019-07-14 21:38:26   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:26   lo 190.10 190.10 61.02 61.02 0.00 0.00 0.00 0.00
2019-07-14 21:38:27   eth0 16.83 23.76 1.62 3.03 0.00 0.00 0.00 0.00
2019-07-14 21:38:27   lo 5.94 5.94 4.16 4.16 0.00 0.00 0.00 0.00
2019-07-14 21:38:28   eth0 113.86 125.74 13.03 23.92 0.00 0.00 0.00 0.00
2019-07-14 21:38:28   lo 80.20 80.20 38.56 38.56 0.00 0.00 0.00 0.00
2019-07-14 21:38:29   eth0 56.86 56.86 7.88 11.40 0.00 0.00 0.00 0.00
2019-07-14 21:38:29   lo 343.14 343.14 72.25 72.25 0.00 0.00 0.00 0.00
2019-07-14 21:38:30   eth0 0.99 1.98 0.06 0.13 0.00 0.00 0.00 0.00
2019-07-14 21:38:30   lo 85.15 85.15 5.03 5.03 0.00 0.00 0.00 0.00
2019-07-14 21:38:31   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:31   lo 1.96 1.96 0.10 0.10 0.00 0.00 0.00 0.00
2019-07-14 21:38:32   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:32   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:33   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:33   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:35   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:35   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:36   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:36   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:37   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:37   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:38   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:38   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:39   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:39   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:40   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:40   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:41   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:41   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:42   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:42   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:43   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:43   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:44   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:44   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:45   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:45   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:46   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:46   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:47   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:47   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:48   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:48   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:49   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:49   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:50   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:50   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:51   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:51   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:52   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:52   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:53   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:53   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:54   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:54   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:55   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:55   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:56   eth0 0.99 0.00 0.18 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:56   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:57   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:57   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:58   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:58   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:59   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:59   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:00   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:00   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:01   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:01   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:02   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:02   lo 113.00 113.00 7.46 7.46 0.00 0.00 0.00 0.00
2019-07-14 21:39:03   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:03   lo 74.51 74.51 5.58 5.58 0.00 0.00 0.00 0.00
2019-07-14 21:39:04   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:04   lo 133.33 133.33 15.39 15.39 0.00 0.00 0.00 0.00
2019-07-14 21:39:05   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:05   lo 795.05 795.05 118.31 118.31 0.00 0.00 0.00 0.00
2019-07-14 21:39:06   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:06   lo 66.67 66.67 22.37 22.37 0.00 0.00 0.00 0.00
2019-07-14 21:39:07   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:07   lo 86.54 86.54 70.23 70.23 0.00 0.00 0.00 0.00
2019-07-14 21:39:08   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:08   lo 248.51 248.51 110.52 110.52 0.00 0.00 0.00 0.00
2019-07-14 21:39:09   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:09   lo 296.08 296.08 98.69 98.69 0.00 0.00 0.00 0.00
2019-07-14 21:39:10   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:10   lo 131.37 131.37 79.50 79.50 0.00 0.00 0.00 0.00
2019-07-14 21:39:11   eth0 4.95 6.93 0.39 0.78 0.00 0.00 0.00 0.00
2019-07-14 21:39:11   lo 143.56 143.56 30.94 30.94 0.00 0.00 0.00 0.00
2019-07-14 21:39:12   eth0 109.90 121.78 12.48 22.60 0.00 0.00 0.00 0.00
2019-07-14 21:39:12   lo 72.28 72.28 34.66 34.66 0.00 0.00 0.00 0.00
2019-07-14 21:39:13   eth0 69.52 71.43 9.31 14.06 0.00 0.00 0.00 0.00
2019-07-14 21:39:13   lo 340.00 340.00 77.60 77.60 0.00 0.00 0.00 0.00
2019-07-14 21:39:14   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:14   lo 90.29 90.29 5.28 5.28 0.00 0.00 0.00 0.00
2019-07-14 21:39:15   eth0 0.99 1.98 0.06 0.13 0.00 0.00 0.00 0.00
2019-07-14 21:39:15   lo 1.98 1.98 0.10 0.10 0.00 0.00 0.00 0.00
2019-07-14 21:39:16   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:16   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:17   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:17   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:18   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:18   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:19   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:19   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:20   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:20   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:21   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:21   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:22   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:22   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:23   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:23   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:24   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:24   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:25   eth0 0.99 0.00 0.18 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:25   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:26   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:26   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:27   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:27   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:28   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:28   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:29   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:29   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:30   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:30   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:31   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:31   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:32   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:32   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:33   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:33   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:34   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:34   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:35   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:35   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:36   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:36   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:37   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:37   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:38   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:38   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:39   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:39   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:40   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:40   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:42   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:42   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:43   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:43   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:44   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:44   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:45   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:45   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:46   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:46   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:47   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:47   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:48   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:48   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:49   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:49   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:50   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:50   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:51   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:51   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:52   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:52   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:53   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:53   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:54   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:54   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:55   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:55   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:56   eth0 0.98 0.00 0.18 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:56   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:57   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:57   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:58   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:58   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:59   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:59   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:00   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:00   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:01   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:01   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
