date time   pgpgin/s pgpgout/s fault/s majflt/s pgfree/s pgscank/s pgscand/s pgsteal/s %vmeff
2019-07-14 21:38:20   3588.12 1370.30 6932.67 0.00 2956.44 0.00 0.00 0.00 0.00
2019-07-14 21:38:21   1841.58 158.42 16500.00 0.99 3561.39 0.00 0.00 0.00 0.00
2019-07-14 21:38:22   3196.04 3.96 10001.98 0.99 2133.66 0.00 0.00 0.00 0.00
2019-07-14 21:38:23   141.18 15.69 7807.84 0.00 833.33 0.00 0.00 0.00 0.00
2019-07-14 21:38:24   95.05 0.00 8614.85 0.00 1220.79 0.00 0.00 0.00 0.00
2019-07-14 21:38:25   101.96 0.00 1722.55 0.00 1371.57 0.00 0.00 0.00 0.00
2019-07-14 21:38:26   2946.53 328.71 12493.07 0.99 1677.23 0.00 0.00 0.00 0.00
2019-07-14 21:38:27   3200.00 15.84 3025.74 0.00 1267.33 0.00 0.00 0.00 0.00
2019-07-14 21:38:28   0.00 146.53 1714.85 0.00 1734.65 0.00 0.00 0.00 0.00
2019-07-14 21:38:29   145.10 66.67 14729.41 0.00 25449.02 0.00 0.00 0.00 0.00
2019-07-14 21:38:30   102.97 384.16 773.27 0.99 7802.97 0.00 0.00 0.00 0.00
2019-07-14 21:38:31   0.00 164.71 9150.00 0.00 110927.45 0.00 0.00 0.00 0.00
2019-07-14 21:38:32   0.00 0.00 651.49 0.00 753.47 0.00 0.00 0.00 0.00
2019-07-14 21:38:33   0.00 0.00 479.21 0.00 1486.14 0.00 0.00 0.00 0.00
2019-07-14 21:38:35   0.00 0.00 5379.41 0.00 11447.06 0.00 0.00 0.00 0.00
2019-07-14 21:38:36   0.00 114.85 497.03 0.00 370.30 0.00 0.00 0.00 0.00
2019-07-14 21:38:37   0.00 913.73 479.41 0.00 404.90 0.00 0.00 0.00 0.00
2019-07-14 21:38:38   0.00 0.00 482.18 0.00 1204.95 0.00 0.00 0.00 0.00
2019-07-14 21:38:39   0.00 0.00 448.04 0.00 384.31 0.00 0.00 0.00 0.00
2019-07-14 21:38:40   0.00 31.68 458.42 0.00 2049.50 0.00 0.00 0.00 0.00
2019-07-14 21:38:41   0.00 27.45 472.55 0.00 350.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:42   0.00 71.29 513.86 0.00 479.21 0.00 0.00 0.00 0.00
2019-07-14 21:38:43   0.00 0.00 499.01 0.00 698.02 0.00 0.00 0.00 0.00
2019-07-14 21:38:44   0.00 0.00 454.46 0.00 591.09 0.00 0.00 0.00 0.00
2019-07-14 21:38:45   0.00 0.00 438.24 0.00 427.45 0.00 0.00 0.00 0.00
2019-07-14 21:38:46   0.00 15.84 490.10 0.00 1365.35 0.00 0.00 0.00 0.00
2019-07-14 21:38:47   3.96 3.96 26250.50 0.00 8316.83 0.00 0.00 0.00 0.00
2019-07-14 21:38:48   0.00 0.00 27593.07 0.00 8411.88 0.00 0.00 0.00 0.00
2019-07-14 21:38:49   11.88 3.96 16584.16 0.00 50447.52 0.00 0.00 0.00 0.00
2019-07-14 21:38:50   0.00 0.00 434.31 0.00 420.59 0.00 0.00 0.00 0.00
2019-07-14 21:38:51   0.00 82.35 437.25 0.00 585.29 0.00 0.00 0.00 0.00
2019-07-14 21:38:52   0.00 55.45 443.56 0.00 336.63 0.00 0.00 0.00 0.00
2019-07-14 21:38:53   3.92 0.00 508.82 0.00 345.10 0.00 0.00 0.00 0.00
2019-07-14 21:38:54   0.00 0.00 487.13 0.00 488.12 0.00 0.00 0.00 0.00
2019-07-14 21:38:55   0.00 0.00 455.88 0.00 342.16 0.00 0.00 0.00 0.00
2019-07-14 21:38:56   0.00 43.56 459.41 0.00 378.22 0.00 0.00 0.00 0.00
2019-07-14 21:38:57   0.00 3.92 438.24 0.00 328.43 0.00 0.00 0.00 0.00
2019-07-14 21:38:58   0.00 0.00 450.50 0.00 351.49 0.00 0.00 0.00 0.00
2019-07-14 21:38:59   0.00 0.00 15582.18 0.00 6466.34 0.00 0.00 0.00 0.00
2019-07-14 21:39:00   0.00 31.68 27943.56 0.00 6324.75 0.00 0.00 0.00 0.00
2019-07-14 21:39:01   0.00 87.13 15335.64 0.00 2230.69 0.00 0.00 0.00 0.00
2019-07-14 21:39:02   0.00 128.00 13628.00 0.00 4877.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:03   0.00 0.00 20318.63 0.00 3679.41 0.00 0.00 0.00 0.00
2019-07-14 21:39:04   0.00 58.82 13127.45 0.00 2045.10 0.00 0.00 0.00 0.00
2019-07-14 21:39:05   308.91 7.92 15845.54 2.97 5267.33 0.00 0.00 0.00 0.00
2019-07-14 21:39:06   1054.90 396.08 45190.20 6.86 3091.18 0.00 0.00 0.00 0.00
2019-07-14 21:39:07   2592.31 115.38 6832.69 35.58 3841.35 0.00 0.00 0.00 0.00
2019-07-14 21:39:08   380.20 0.00 4739.60 4.95 2212.87 0.00 0.00 0.00 0.00
2019-07-14 21:39:09   0.00 7.84 5869.61 0.00 1852.94 0.00 0.00 0.00 0.00
2019-07-14 21:39:10   0.00 0.00 3607.84 0.00 1572.55 0.00 0.00 0.00 0.00
2019-07-14 21:39:11   0.00 514.85 12803.96 0.00 2160.40 0.00 0.00 0.00 0.00
2019-07-14 21:39:12   0.00 1005.94 11163.37 0.00 1625.74 0.00 0.00 0.00 0.00
2019-07-14 21:39:13   0.00 83.81 2438.10 0.00 2520.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:14   0.00 7.77 5442.72 0.00 21214.56 0.00 0.00 0.00 0.00
2019-07-14 21:39:15   59.41 83.17 9375.25 0.99 117917.82 0.00 0.00 0.00 0.00
2019-07-14 21:39:16   0.00 447.52 6186.14 0.00 2281.19 0.00 0.00 0.00 0.00
2019-07-14 21:39:17   0.00 7.92 2241.58 0.00 10025.74 0.00 0.00 0.00 0.00
2019-07-14 21:39:18   0.00 0.00 461.76 0.00 1764.71 0.00 0.00 0.00 0.00
2019-07-14 21:39:19   0.00 0.00 608.91 0.00 628.71 0.00 0.00 0.00 0.00
2019-07-14 21:39:20   0.00 0.00 456.86 0.00 481.37 0.00 0.00 0.00 0.00
2019-07-14 21:39:21   0.00 35.64 501.98 0.00 461.39 0.00 0.00 0.00 0.00
2019-07-14 21:39:22   0.00 27.72 596.04 0.00 376.24 0.00 0.00 0.00 0.00
2019-07-14 21:39:23   0.00 39.22 467.65 0.00 522.55 0.00 0.00 0.00 0.00
2019-07-14 21:39:24   0.00 0.00 858.82 0.00 869.61 0.00 0.00 0.00 0.00
2019-07-14 21:39:25   0.00 0.00 443.56 0.00 332.67 0.00 0.00 0.00 0.00
2019-07-14 21:39:26   0.00 27.72 450.50 0.00 378.22 0.00 0.00 0.00 0.00
2019-07-14 21:39:27   0.00 3.92 468.63 0.00 1212.75 0.00 0.00 0.00 0.00
2019-07-14 21:39:28   0.00 0.00 1433.33 0.00 1370.59 0.00 0.00 0.00 0.00
2019-07-14 21:39:29   0.00 0.00 452.48 0.00 366.34 0.00 0.00 0.00 0.00
2019-07-14 21:39:30   0.00 0.00 451.96 0.00 1568.63 0.00 0.00 0.00 0.00
2019-07-14 21:39:31   0.00 11.88 444.55 0.00 822.77 0.00 0.00 0.00 0.00
2019-07-14 21:39:32   47.06 3.92 997.06 0.98 7699.02 0.00 0.00 0.00 0.00
2019-07-14 21:39:33   0.00 67.33 457.43 0.00 458.42 0.00 0.00 0.00 0.00
2019-07-14 21:39:34   0.00 0.00 435.29 0.00 343.14 0.00 0.00 0.00 0.00
2019-07-14 21:39:35   0.00 0.00 439.22 0.00 368.63 0.00 0.00 0.00 0.00
2019-07-14 21:39:36   0.00 63.37 455.45 0.00 492.08 0.00 0.00 0.00 0.00
2019-07-14 21:39:37   0.00 19.80 1495.05 0.00 850.50 0.00 0.00 0.00 0.00
2019-07-14 21:39:38   0.00 8454.90 1022.55 0.00 802.94 0.00 0.00 0.00 0.00
2019-07-14 21:39:39   0.00 290.20 1072.55 0.00 713.73 0.00 0.00 0.00 0.00
2019-07-14 21:39:40   0.00 0.00 1444.55 0.00 924.75 0.00 0.00 0.00 0.00
2019-07-14 21:39:42   0.00 0.00 435.29 0.00 367.65 0.00 0.00 0.00 0.00
2019-07-14 21:39:43   0.00 0.00 1529.70 0.00 1155.45 0.00 0.00 0.00 0.00
2019-07-14 21:39:44   3.92 239.22 450.98 0.00 499.02 0.00 0.00 0.00 0.00
2019-07-14 21:39:45   0.00 102.97 548.51 0.00 538.61 0.00 0.00 0.00 0.00
2019-07-14 21:39:46   0.00 0.00 440.20 0.00 421.57 0.00 0.00 0.00 0.00
2019-07-14 21:39:47   0.00 0.00 462.38 0.00 367.33 0.00 0.00 0.00 0.00
2019-07-14 21:39:48   0.00 0.00 457.43 0.00 614.85 0.00 0.00 0.00 0.00
2019-07-14 21:39:49   0.00 9033.66 556.44 0.00 488.12 0.00 0.00 0.00 0.00
2019-07-14 21:39:50   0.00 62.75 478.43 0.00 633.33 0.00 0.00 0.00 0.00
2019-07-14 21:39:51   0.00 3.96 438.61 0.00 343.56 0.00 0.00 0.00 0.00
2019-07-14 21:39:52   0.00 0.00 433.33 0.00 359.80 0.00 0.00 0.00 0.00
2019-07-14 21:39:53   0.00 0.00 450.50 0.00 362.38 0.00 0.00 0.00 0.00
2019-07-14 21:39:54   0.00 7.84 439.22 0.00 333.33 0.00 0.00 0.00 0.00
2019-07-14 21:39:55   0.00 11.88 472.28 0.00 391.09 0.00 0.00 0.00 0.00
2019-07-14 21:39:56   0.00 3.92 453.92 0.00 426.47 0.00 0.00 0.00 0.00
2019-07-14 21:39:57   0.00 0.00 442.57 0.00 358.42 0.00 0.00 0.00 0.00
2019-07-14 21:39:58   39.60 0.00 600.00 0.99 1380.20 0.00 0.00 0.00 0.00
2019-07-14 21:39:59   0.00 0.00 438.24 0.00 335.29 0.00 0.00 0.00 0.00
2019-07-14 21:40:00   0.00 7.92 439.60 0.00 1127.72 0.00 0.00 0.00 0.00
2019-07-14 21:40:01   0.00 3.92 438.24 0.00 374.51 0.00 0.00 0.00 0.00
2019-07-14 21:40:02   0.00 0.00 484.31 0.00 524.51 0.00 0.00 0.00 0.00
2019-07-14 21:40:03   0.00 0.00 22685.15 0.00 7765.35 0.00 0.00 0.00 0.00
2019-07-14 21:40:04   0.00 71.29 26453.47 0.00 8040.59 0.00 0.00 0.00 0.00
2019-07-14 21:40:05   0.00 79.21 21073.27 0.00 50255.45 0.00 0.00 0.00 0.00
2019-07-14 21:40:06   0.00 3.92 440.20 0.00 1106.86 0.00 0.00 0.00 0.00
2019-07-14 21:40:07   0.00 0.00 453.47 0.00 329.70 0.00 0.00 0.00 0.00
2019-07-14 21:40:08   0.00 51.49 507.92 0.00 457.43 0.00 0.00 0.00 0.00
2019-07-14 21:40:09   0.00 15.69 440.20 0.00 329.41 0.00 0.00 0.00 0.00
2019-07-14 21:40:10   0.00 67.33 443.56 0.00 598.02 0.00 0.00 0.00 0.00
2019-07-14 21:40:11   0.00 3.92 439.22 0.00 354.90 0.00 0.00 0.00 0.00
2019-07-14 21:40:12   0.00 0.00 444.55 0.00 374.26 0.00 0.00 0.00 0.00
2019-07-14 21:40:13   0.00 0.00 470.30 0.00 678.22 0.00 0.00 0.00 0.00
2019-07-14 21:40:14   0.00 270.59 444.12 0.00 369.61 0.00 0.00 0.00 0.00
2019-07-14 21:40:15   0.00 99.01 11460.40 0.00 2529.70 0.00 0.00 0.00 0.00
2019-07-14 21:40:16   0.00 36.00 27075.00 0.00 12286.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:17   0.00 0.00 14401.98 0.00 1645.54 0.00 0.00 0.00 0.00
2019-07-14 21:40:18   0.00 0.00 23174.51 0.00 16290.20 0.00 0.00 0.00 0.00
2019-07-14 21:40:19   0.00 0.00 18501.98 0.00 3910.89 0.00 0.00 0.00 0.00
2019-07-14 21:40:20   0.00 163.11 14997.09 0.00 3330.10 0.00 0.00 0.00 0.00
2019-07-14 21:40:21   7.92 63.37 10400.99 0.99 3255.45 0.00 0.00 0.00 0.00
2019-07-14 21:40:22   0.00 0.00 17837.86 0.00 6816.50 0.00 0.00 0.00 0.00
2019-07-14 21:40:23   0.00 31.68 16477.23 0.00 10803.96 0.00 0.00 0.00 0.00
2019-07-14 21:40:24   0.00 231.37 1750.00 0.00 987.25 0.00 0.00 0.00 0.00
2019-07-14 21:40:25   0.00 258.82 5711.76 0.00 1675.49 0.00 0.00 0.00 0.00
2019-07-14 21:40:26   91.09 3.96 5710.89 0.00 2120.79 0.00 0.00 0.00 0.00
2019-07-14 21:40:27   0.00 0.00 4070.00 0.00 1496.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:28   0.00 90.20 22175.49 0.00 11273.53 0.00 0.00 0.00 0.00
2019-07-14 21:40:29   0.00 170.30 1565.35 0.00 1432.67 0.00 0.00 0.00 0.00
2019-07-14 21:40:30   0.00 182.18 5734.65 0.00 16195.05 0.00 0.00 0.00 0.00
2019-07-14 21:40:31   0.00 36.00 8051.00 0.00 123145.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:32   0.00 0.00 1822.55 0.00 2588.24 0.00 0.00 0.00 0.00
2019-07-14 21:40:33   0.00 31.68 4889.11 0.00 11679.21 0.00 0.00 0.00 0.00
2019-07-14 21:40:34   0.00 78.43 1448.04 0.00 1357.84 0.00 0.00 0.00 0.00
2019-07-14 21:40:35   0.00 106.93 1840.59 0.00 377.23 0.00 0.00 0.00 0.00
2019-07-14 21:40:36   0.00 3.96 595.05 0.00 377.23 0.00 0.00 0.00 0.00
2019-07-14 21:40:37   0.00 0.00 1197.06 0.00 1088.24 0.00 0.00 0.00 0.00
2019-07-14 21:40:38   0.00 0.00 450.50 0.00 397.03 0.00 0.00 0.00 0.00
2019-07-14 21:40:39   0.00 78.43 999.02 0.00 1078.43 0.00 0.00 0.00 0.00
2019-07-14 21:40:40   0.00 665.35 955.45 0.00 4550.50 0.00 0.00 0.00 0.00
2019-07-14 21:40:41   3.92 3.92 456.86 0.98 335.29 0.00 0.00 0.00 0.00
2019-07-14 21:40:42   0.00 0.00 441.58 0.00 1527.72 0.00 0.00 0.00 0.00
2019-07-14 21:40:43   0.00 0.00 471.57 0.00 688.24 0.00 0.00 0.00 0.00
2019-07-14 21:40:44   0.00 285.15 447.52 0.00 506.93 0.00 0.00 0.00 0.00
2019-07-14 21:40:45   0.00 31.37 437.25 0.00 408.82 0.00 0.00 0.00 0.00
2019-07-14 21:40:46   0.00 0.00 455.45 0.00 435.64 0.00 0.00 0.00 0.00
2019-07-14 21:40:47   0.00 0.00 465.69 0.00 354.90 0.00 0.00 0.00 0.00
2019-07-14 21:40:48   0.00 0.00 437.25 0.00 372.55 0.00 0.00 0.00 0.00
2019-07-14 21:40:49   0.00 7.92 448.51 0.00 390.10 0.00 0.00 0.00 0.00
2019-07-14 21:40:50   0.00 126.73 508.91 0.00 971.29 0.00 0.00 0.00 0.00
2019-07-14 21:40:51   0.00 0.00 439.22 0.00 385.29 0.00 0.00 0.00 0.00
2019-07-14 21:40:52   0.00 0.00 442.16 0.00 1289.22 0.00 0.00 0.00 0.00
2019-07-14 21:40:54   0.00 0.00 450.50 0.00 386.14 0.00 0.00 0.00 0.00
2019-07-14 21:40:55   0.00 479.21 449.50 0.00 348.51 0.00 0.00 0.00 0.00
2019-07-14 21:40:56   0.00 58.82 462.75 0.00 335.29 0.00 0.00 0.00 0.00
2019-07-14 21:40:57   0.00 3.92 434.31 0.00 384.31 0.00 0.00 0.00 0.00
2019-07-14 21:40:58   0.00 0.00 451.49 0.00 337.62 0.00 0.00 0.00 0.00
2019-07-14 21:40:59   0.00 0.00 526.47 0.00 718.63 0.00 0.00 0.00 0.00
2019-07-14 21:41:00   0.00 0.00 1120.79 0.00 922.77 0.00 0.00 0.00 0.00
2019-07-14 21:41:01   0.00 58.82 449.02 0.00 359.80 0.00 0.00 0.00 0.00
2019-07-14 21:41:02   19.80 3.96 4025.74 0.99 1824.75 0.00 0.00 0.00 0.00
2019-07-14 21:41:03   0.00 0.00 808.82 0.00 1161.76 0.00 0.00 0.00 0.00
2019-07-14 21:41:04   0.00 0.00 1554.46 0.00 1236.63 0.00 0.00 0.00 0.00
2019-07-14 21:41:05   0.00 39.60 1861.39 0.00 1364.36 0.00 0.00 0.00 0.00
2019-07-14 21:41:06   0.00 23.53 5958.82 0.00 12765.69 0.00 0.00 0.00 0.00
2019-07-14 21:41:07   3.96 3.96 514.85 0.00 1806.93 0.00 0.00 0.00 0.00
2019-07-14 21:41:08   0.00 0.00 444.12 0.00 391.18 0.00 0.00 0.00 0.00
2019-07-14 21:41:09   0.00 0.00 438.61 0.00 413.86 0.00 0.00 0.00 0.00
2019-07-14 21:41:10   0.00 0.00 439.22 0.00 377.45 0.00 0.00 0.00 0.00
2019-07-14 21:41:11   0.00 146.53 25552.48 0.00 8323.76 0.00 0.00 0.00 0.00
2019-07-14 21:41:12   0.00 4.00 29151.00 0.00 9151.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:13   0.00 3.92 16385.29 0.00 50212.75 0.00 0.00 0.00 0.00
2019-07-14 21:41:14   0.00 0.00 442.16 0.00 367.65 0.00 0.00 0.00 0.00
2019-07-14 21:41:15   0.00 0.00 439.60 0.00 351.49 0.00 0.00 0.00 0.00
2019-07-14 21:41:16   0.00 39.22 438.24 0.00 343.14 0.00 0.00 0.00 0.00
2019-07-14 21:41:17   0.00 3.96 486.14 0.00 404.95 0.00 0.00 0.00 0.00
2019-07-14 21:41:18   0.00 0.00 436.27 0.00 322.55 0.00 0.00 0.00 0.00
2019-07-14 21:41:19   0.00 0.00 463.73 0.00 357.84 0.00 0.00 0.00 0.00
2019-07-14 21:41:20   0.00 0.00 434.65 0.00 391.09 0.00 0.00 0.00 0.00
2019-07-14 21:41:21   0.00 47.06 439.22 0.00 390.20 0.00 0.00 0.00 0.00
2019-07-14 21:41:22   0.00 3.96 442.57 0.00 643.56 0.00 0.00 0.00 0.00
2019-07-14 21:41:23   0.00 0.00 15658.42 0.00 6367.33 0.00 0.00 0.00 0.00
2019-07-14 21:41:24   19.80 31.68 27915.84 0.00 7229.70 0.00 0.00 0.00 0.00
2019-07-14 21:41:25   0.00 0.00 11526.73 0.00 2098.02 0.00 0.00 0.00 0.00
2019-07-14 21:41:26   0.00 994.06 16398.02 0.00 6342.57 0.00 0.00 0.00 0.00
2019-07-14 21:41:27   0.00 0.00 18373.00 0.00 2635.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:28   0.00 58.82 7457.84 0.00 438.24 0.00 0.00 0.00 0.00
2019-07-14 21:41:29   0.00 0.00 14715.69 0.00 4844.12 0.00 0.00 0.00 0.00
2019-07-14 21:41:30   0.00 0.00 11043.56 0.00 2723.76 0.00 0.00 0.00 0.00
2019-07-14 21:41:31   0.00 613.86 8237.62 0.00 758.42 0.00 0.00 0.00 0.00
2019-07-14 21:41:32   0.00 0.00 8561.39 0.00 1253.47 0.00 0.00 0.00 0.00
2019-07-14 21:41:33   0.00 0.00 2077.45 0.00 1294.12 0.00 0.00 0.00 0.00
2019-07-14 21:41:34   0.00 0.00 8987.13 0.00 1583.17 0.00 0.00 0.00 0.00
2019-07-14 21:41:35   0.00 94.12 3430.39 0.00 1319.61 0.00 0.00 0.00 0.00
2019-07-14 21:41:36   3.96 526.73 8789.11 0.99 1397.03 0.00 0.00 0.00 0.00
2019-07-14 21:41:37   0.00 0.00 5251.49 0.00 15086.14 0.00 0.00 0.00 0.00
2019-07-14 21:41:38   0.00 82.35 9280.39 0.00 114620.59 0.00 0.00 0.00 0.00
2019-07-14 21:41:39   0.00 0.00 437.62 0.00 336.63 0.00 0.00 0.00 0.00
2019-07-14 21:41:40   0.00 0.00 435.29 0.00 335.29 0.00 0.00 0.00 0.00
2019-07-14 21:41:41   0.00 134.65 442.57 0.00 328.71 0.00 0.00 0.00 0.00
2019-07-14 21:41:42   0.00 3.92 438.24 0.00 339.22 0.00 0.00 0.00 0.00
2019-07-14 21:41:43   0.00 0.00 465.35 0.00 838.61 0.00 0.00 0.00 0.00
2019-07-14 21:41:44   0.00 184.31 526.47 0.00 538.24 0.00 0.00 0.00 0.00
2019-07-14 21:41:45   0.00 0.00 458.42 0.00 421.78 0.00 0.00 0.00 0.00
2019-07-14 21:41:46   7.92 130.69 1507.92 0.00 2015.84 0.00 0.00 0.00 0.00
2019-07-14 21:41:47   3.96 3.96 565.35 0.99 1646.53 0.00 0.00 0.00 0.00
2019-07-14 21:41:48   0.00 0.00 567.65 0.00 1866.67 0.00 0.00 0.00 0.00
2019-07-14 21:41:49   0.00 0.00 575.25 0.00 439.60 0.00 0.00 0.00 0.00
2019-07-14 21:41:50   0.00 0.00 542.16 0.00 458.82 0.00 0.00 0.00 0.00
2019-07-14 21:41:51   0.00 198.02 14167.33 0.00 7622.77 0.00 0.00 0.00 0.00
2019-07-14 21:41:52   0.00 0.00 531.37 0.00 1137.25 0.00 0.00 0.00 0.00
2019-07-14 21:41:53   0.00 146.53 548.51 0.00 403.96 0.00 0.00 0.00 0.00
2019-07-14 21:41:54   0.00 0.00 1120.59 0.00 625.49 0.00 0.00 0.00 0.00
2019-07-14 21:41:55   0.00 0.00 4036.63 0.00 1900.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:56   0.00 91.09 607.92 0.00 458.42 0.00 0.00 0.00 0.00
2019-07-14 21:41:57   0.00 0.00 684.31 0.00 338.24 0.00 0.00 0.00 0.00
2019-07-14 21:41:58   0.00 95.05 660.40 0.00 1085.15 0.00 0.00 0.00 0.00
2019-07-14 21:41:59   0.00 3.92 989.22 0.00 1047.06 0.00 0.00 0.00 0.00
2019-07-14 21:42:00   0.00 0.00 1349.50 0.00 1479.21 0.00 0.00 0.00 0.00
2019-07-14 21:42:01   0.00 253.47 1338.61 0.00 883.17 0.00 0.00 0.00 0.00
2019-07-14 21:42:02   0.00 0.00 821.57 0.00 1041.18 0.00 0.00 0.00 0.00
2019-07-14 21:42:03   0.00 0.00 787.13 0.00 926.73 0.00 0.00 0.00 0.00
2019-07-14 21:42:04   0.00 0.00 604.95 0.00 411.88 0.00 0.00 0.00 0.00
2019-07-14 21:42:05   0.00 35.64 1180.20 0.00 976.24 0.00 0.00 0.00 0.00
2019-07-14 21:42:07   0.00 1513.73 1366.67 0.00 3828.43 0.00 0.00 0.00 0.00
2019-07-14 21:42:08   0.00 0.00 467.33 0.00 4359.41 0.00 0.00 0.00 0.00
2019-07-14 21:42:09   0.00 0.00 633.33 0.00 1000.98 0.00 0.00 0.00 0.00
2019-07-14 21:42:10   0.00 0.00 582.18 0.00 770.30 0.00 0.00 0.00 0.00
2019-07-14 21:42:11   0.00 27.72 651.49 0.00 523.76 0.00 0.00 0.00 0.00
2019-07-14 21:42:12   0.00 313.73 641.18 0.00 576.47 0.00 0.00 0.00 0.00
2019-07-14 21:42:13   0.00 23.76 794.06 0.00 1111.88 0.00 0.00 0.00 0.00
2019-07-14 21:42:14   0.00 0.00 739.60 0.00 414.85 0.00 0.00 0.00 0.00
2019-07-14 21:42:15   0.00 31.68 1371.29 0.00 1063.37 0.00 0.00 0.00 0.00
2019-07-14 21:42:16   0.00 190.10 451.49 0.00 1081.19 0.00 0.00 0.00 0.00
2019-07-14 21:42:17   0.00 39.22 1190.20 0.00 477.45 0.00 0.00 0.00 0.00
