date time   proc/s cswch/s
2019-07-14 21:38:53   2.94 5083.33
2019-07-14 21:38:54   1.98 5361.39
2019-07-14 21:38:55   4.90 5207.84
2019-07-14 21:38:56   1.98 5247.52
2019-07-14 21:38:57   1.96 5046.08
2019-07-14 21:38:58   4.95 5377.23
2019-07-14 21:38:59   47.52 8984.16
2019-07-14 21:39:00   21.78 8029.70
2019-07-14 21:39:01   9.90 6395.05
2019-07-14 21:39:02   23.00 6555.00
2019-07-14 21:39:03   24.51 7655.88
2019-07-14 21:39:04   2.94 8770.59
2019-07-14 21:39:05   8.91 20037.62
2019-07-14 21:39:06   17.65 7554.90
2019-07-14 21:39:07   26.92 9977.88
2019-07-14 21:39:08   58.42 9206.93
2019-07-14 21:39:09   45.10 7481.37
2019-07-14 21:39:10   90.20 7715.69
2019-07-14 21:39:11   20.79 7983.17
2019-07-14 21:39:12   64.36 9194.06
2019-07-14 21:39:13   34.29 10921.90
2019-07-14 21:39:14   10.68 8646.60
2019-07-14 21:39:15   27.72 8172.28
2019-07-14 21:39:16   1.98 8574.26
2019-07-14 21:39:17   1.98 5933.66
2019-07-14 21:39:18   1.96 6278.43
2019-07-14 21:39:19   6.93 5563.37
2019-07-14 21:39:20   1.96 5940.20
2019-07-14 21:39:21   2.97 5496.04
2019-07-14 21:39:22   1.98 6000.99
2019-07-14 21:39:23   2.94 5990.20
2019-07-14 21:39:24   6.86 6382.35
2019-07-14 21:39:25   1.98 5548.51
2019-07-14 21:39:26   5.94 5388.12
2019-07-14 21:39:27   1.96 6569.61
2019-07-14 21:39:28   2.94 6349.02
2019-07-14 21:39:29   1.98 5516.83
2019-07-14 21:39:30   2.94 5157.84
2019-07-14 21:39:31   2.97 5967.33
2019-07-14 21:39:32   3.92 5612.75
2019-07-14 21:39:33   1.98 5523.76
2019-07-14 21:39:34   4.90 5347.06
2019-07-14 21:39:35   1.96 5053.92
2019-07-14 21:39:36   4.95 5859.41
2019-07-14 21:39:37   5.94 6074.26
2019-07-14 21:39:38   3.92 5607.84
2019-07-14 21:39:39   3.92 6007.84
2019-07-14 21:39:40   5.94 5442.57
2019-07-14 21:39:42   2.94 5620.59
2019-07-14 21:39:43   5.94 5694.06
2019-07-14 21:39:44   1.96 6668.63
2019-07-14 21:39:45   1.98 6588.12
2019-07-14 21:39:46   2.94 5141.18
2019-07-14 21:39:47   1.98 5163.37
2019-07-14 21:39:48   2.97 5138.61
2019-07-14 21:39:49   1.98 5303.96
2019-07-14 21:39:50   4.90 5131.37
2019-07-14 21:39:51   1.98 5260.40
2019-07-14 21:39:52   1.96 5133.33
2019-07-14 21:39:53   1.98 5292.08
2019-07-14 21:39:54   2.94 5429.41
2019-07-14 21:39:55   2.97 5517.82
2019-07-14 21:39:56   1.96 5700.98
2019-07-14 21:39:57   1.98 5068.32
2019-07-14 21:39:58   7.92 5529.70
2019-07-14 21:39:59   1.96 5204.90
2019-07-14 21:40:00   1.98 5286.14
2019-07-14 21:40:01   1.96 5549.02
2019-07-14 21:40:02   4.90 6593.14
2019-07-14 21:40:03   67.33 9785.15
2019-07-14 21:40:04   1.98 5131.68
2019-07-14 21:40:05   29.70 7540.59
2019-07-14 21:40:06   4.90 5299.02
2019-07-14 21:40:07   1.98 5009.90
2019-07-14 21:40:08   3.96 5385.15
2019-07-14 21:40:09   1.96 5308.82
2019-07-14 21:40:10   3.96 5185.15
2019-07-14 21:40:11   1.96 5034.31
2019-07-14 21:40:12   1.98 5752.48
2019-07-14 21:40:13   2.97 6114.85
2019-07-14 21:40:14   4.90 5252.94
2019-07-14 21:40:15   30.69 7977.23
2019-07-14 21:40:16   39.00 9848.00
2019-07-14 21:40:17   4.95 7121.78
2019-07-14 21:40:18   24.51 11979.41
2019-07-14 21:40:19   26.73 9893.07
2019-07-14 21:40:20   9.71 10871.84
2019-07-14 21:40:21   6.93 10481.19
2019-07-14 21:40:22   13.59 9393.20
2019-07-14 21:40:23   27.72 9427.72
2019-07-14 21:40:24   45.10 9713.73
2019-07-14 21:40:25   55.88 8284.31
2019-07-14 21:40:26   89.11 8591.09
2019-07-14 21:40:27   33.00 8285.00
2019-07-14 21:40:28   40.20 7359.80
2019-07-14 21:40:29   49.50 9935.64
2019-07-14 21:40:30   31.68 8632.67
2019-07-14 21:40:31   26.00 7599.00
2019-07-14 21:40:32   9.80 6138.24
2019-07-14 21:40:33   8.91 5791.09
2019-07-14 21:40:34   1.96 5812.75
2019-07-14 21:40:35   1.98 5591.09
2019-07-14 21:40:36   2.97 5478.22
2019-07-14 21:40:37   1.96 5554.90
2019-07-14 21:40:38   1.98 5889.11
2019-07-14 21:40:39   4.90 10813.73
2019-07-14 21:40:40   1.98 7131.68
2019-07-14 21:40:41   1.96 5109.80
2019-07-14 21:40:42   1.98 5426.73
2019-07-14 21:40:43   1.96 5682.35
2019-07-14 21:40:44   3.96 5491.09
2019-07-14 21:40:45   1.96 5253.92
2019-07-14 21:40:46   1.98 6255.45
2019-07-14 21:40:47   3.92 5083.33
2019-07-14 21:40:48   4.90 5375.49
2019-07-14 21:40:49   1.98 5355.45
2019-07-14 21:40:50   2.97 5652.48
2019-07-14 21:40:51   2.94 5357.84
2019-07-14 21:40:52   2.94 5028.43
2019-07-14 21:40:54   1.98 5214.85
2019-07-14 21:40:55   1.98 5475.25
2019-07-14 21:40:56   4.90 5244.12
2019-07-14 21:40:57   1.96 5282.35
2019-07-14 21:40:58   3.96 5176.24
2019-07-14 21:40:59   1.96 7631.37
2019-07-14 21:41:00   3.96 7146.53
2019-07-14 21:41:01   1.96 5223.53
2019-07-14 21:41:02   4.95 7541.58
2019-07-14 21:41:03   1.96 6458.82
2019-07-14 21:41:04   4.95 7349.50
2019-07-14 21:41:05   2.97 8393.07
2019-07-14 21:41:06   9.80 10663.73
2019-07-14 21:41:07   2.97 5648.51
2019-07-14 21:41:08   1.96 5061.76
2019-07-14 21:41:09   1.98 5448.51
2019-07-14 21:41:10   1.96 5064.71
2019-07-14 21:41:11   69.31 9473.27
2019-07-14 21:41:12   2.00 5176.00
2019-07-14 21:41:13   30.39 7852.94
2019-07-14 21:41:14   1.96 5344.12
2019-07-14 21:41:15   1.98 5103.96
2019-07-14 21:41:16   2.94 5272.55
2019-07-14 21:41:17   2.97 5445.54
2019-07-14 21:41:18   1.96 5078.43
2019-07-14 21:41:19   1.96 5254.90
2019-07-14 21:41:20   4.95 5801.98
2019-07-14 21:41:21   1.96 5234.31
2019-07-14 21:41:22   2.97 5773.27
2019-07-14 21:41:23   48.51 8772.28
2019-07-14 21:41:24   23.76 9607.92
2019-07-14 21:41:25   12.87 7925.74
2019-07-14 21:41:26   19.80 6335.64
2019-07-14 21:41:27   26.00 6862.00
2019-07-14 21:41:28   2.94 5550.98
2019-07-14 21:41:29   8.82 8899.02
2019-07-14 21:41:30   23.76 7254.46
2019-07-14 21:41:31   39.60 7970.30
2019-07-14 21:41:32   94.06 7842.57
2019-07-14 21:41:33   40.20 6547.06
2019-07-14 21:41:34   51.49 8808.91
2019-07-14 21:41:35   50.98 7972.55
2019-07-14 21:41:36   59.41 9998.02
2019-07-14 21:41:37   16.83 6651.49
2019-07-14 21:41:38   31.37 8170.59
2019-07-14 21:41:39   1.98 5198.02
2019-07-14 21:41:40   1.96 4991.18
2019-07-14 21:41:41   1.98 5031.68
2019-07-14 21:41:42   4.90 4948.04
2019-07-14 21:41:43   1.98 5269.31
2019-07-14 21:41:44   1.96 5471.57
2019-07-14 21:41:45   2.97 5429.70
2019-07-14 21:41:46   4.95 8075.25
2019-07-14 21:41:47   1.98 5747.52
2019-07-14 21:41:48   3.92 6808.82
2019-07-14 21:41:49   4.95 7753.47
2019-07-14 21:41:50   1.96 6913.73
2019-07-14 21:41:51   36.63 8857.43
2019-07-14 21:41:52   1.96 6675.49
2019-07-14 21:41:53   1.98 6703.96
2019-07-14 21:41:54   2.94 6178.43
2019-07-14 21:41:55   1.98 13124.75
2019-07-14 21:41:56   1.98 7363.37
2019-07-14 21:41:57   1.96 5599.02
2019-07-14 21:41:58   6.93 6212.87
2019-07-14 21:41:59   4.90 6168.63
2019-07-14 21:42:00   1.98 6657.43
2019-07-14 21:42:01   7.92 6151.49
2019-07-14 21:42:02   2.94 5975.49
2019-07-14 21:42:03   1.98 6192.08
2019-07-14 21:42:04   1.98 6033.66
2019-07-14 21:42:05   1.98 6643.56
2019-07-14 21:42:07   5.88 7714.71
2019-07-14 21:42:08   1.98 6366.34
2019-07-14 21:42:09   1.96 8844.12
2019-07-14 21:42:10   4.95 7244.55
2019-07-14 21:42:11   1.98 8214.85
2019-07-14 21:42:12   1.96 6583.33
2019-07-14 21:42:13   1.98 6021.78
2019-07-14 21:42:14   4.95 5946.53
2019-07-14 21:42:15   1.98 7883.17
2019-07-14 21:42:16   1.98 5825.74
2019-07-14 21:42:17   1.96 6450.00
2019-07-14 21:42:18   2.97 7106.93
2019-07-14 21:42:19   1.98 7376.24
2019-07-14 21:42:20   1.96 6339.22
2019-07-14 21:42:21   1.98 5899.01
2019-07-14 21:42:22   4.95 7048.51
2019-07-14 21:42:23   2.94 8395.10
2019-07-14 21:42:24   2.97 5895.05
2019-07-14 21:42:25   2.97 7141.58
2019-07-14 21:42:26   1.96 5606.86
2019-07-14 21:42:27   1.98 6468.32
2019-07-14 21:42:28   2.94 5455.88
2019-07-14 21:42:29   4.95 6051.49
2019-07-14 21:42:30   2.97 5291.09
2019-07-14 21:42:31   1.96 5425.49
2019-07-14 21:42:32   1.96 5588.24
2019-07-14 21:42:33   1.98 6638.61
2019-07-14 21:42:34   2.97 5558.42
2019-07-14 21:42:35   2.94 5499.02
2019-07-14 21:42:36   1.96 5227.45
2019-07-14 21:42:37   1.98 5899.01
2019-07-14 21:42:38   1.98 6224.75
2019-07-14 21:42:39   4.90 5585.29
